# UN member-state Wikipedia network -- built 2026-09-09
# Directed, unweighted: edge A -> B when A's article wikitext links to B's,
# counting only inline links from the article's OWN prose/infobox -- links
# injected by shared navigation templates (e.g. the UN navbox) are excluded.
# 193 nodes, 2220 directed edges.
# Manual addition (2026-09-21): Kenya -> {Ethiopia, Somalia, South_Sudan,
# Sudan, Tanzania, Uganda}. Kenya's intro sentence names all six as
# neighbors/border context in plain prose ("Kenya is bordered by South
# Sudan to the northwest, Ethiopia to the north, Somalia to the east...")
# without wikilinking any of them -- only "Lake Victoria" is bracketed in
# that sentence -- so the extraction rule correctly found zero out-edges
# for Kenya even though the source article clearly discusses all six.
# Added by hand rather than relaxing the extraction rule, which would
# require guessing at unlinked plain-text mentions article-wide.
#
# Manual addition (2026-09-22): Portugal -> {Brazil, Germany, Spain,
# United_Kingdom} and Luxembourg -> {Afghanistan, Albania, Austria,
# Belgium, Bosnia_and_Herzegovina, France, Germany, Italy, Japan,
# Montenegro, Netherlands, Portugal, Serbia, Spain, Switzerland,
# United_Kingdom, United_States}. Both articles had out-degree 0 for the
# same reason as Kenya: every country they mention -- bordering nations,
# colonial history, wars and treaties, trade partners, immigrant-origin
# countries -- is named in plain prose, never wikilinked. Found by
# scanning both articles' full wikitext (stripping <ref> citations,
# {{cite}}/{{sfnp}} templates, infobox flag-icon statistics tables, and
# image captions first, since a naive plain-text scan is mostly citation
# metadata and bibliography noise at this article length) for country
# names appearing outside [[double brackets]], then manually reviewing
# every hit for genuine substantive content. Included: bordering
# countries, named wars/treaties/historical rule, specific trade or
# demographic percentages, small named rankings (e.g. "second-largest
# investment fund centre, after the United States"). Excluded as
# incidental: open-ended comparison lists ("surpassed by the United
# States, Canada, Australia, ... and other small states like ...", which
# is what silently pulled in Australia/Canada/New_Zealand/Iceland/
# Monaco/San_Marino/Liechtenstein/Brunei on a first, less careful pass)
# and event-location mentions (Luxembourg exhibiting at an Expo "in
# Shanghai, China" is not a Luxembourg-China relationship; a photo
# caption naming "Helsinki, Finland" is not a Portugal-Finland one).
# source	target
Ethiopia	Egypt
Ethiopia	Eritrea
Ethiopia	Israel
Ethiopia	Italy
Ethiopia	Kenya
Ethiopia	Liberia
Ethiopia	Portugal
Ethiopia	Rwanda
Ethiopia	Saudi_Arabia
Ethiopia	Somalia
Ethiopia	South_Sudan
Ethiopia	Sudan
Ethiopia	Tanzania
Ethiopia	Uganda
Federated_States_of_Micronesia	Australia
Federated_States_of_Micronesia	China
Federated_States_of_Micronesia	Indonesia
Federated_States_of_Micronesia	Kiribati
Federated_States_of_Micronesia	Marshall_Islands
Federated_States_of_Micronesia	Nauru
Federated_States_of_Micronesia	Palau
Federated_States_of_Micronesia	Papua_New_Guinea
Federated_States_of_Micronesia	Philippines
Federated_States_of_Micronesia	Portugal
Federated_States_of_Micronesia	Spain
Federated_States_of_Micronesia	United_States
Fiji	Australia
Fiji	India
Fiji	Kiribati
Fiji	Nauru
Fiji	Netherlands
Fiji	New_Zealand
Fiji	Papua_New_Guinea
Fiji	Samoa
Fiji	Solomon_Islands
Fiji	Tonga
Fiji	Tuvalu
Fiji	United_Kingdom
Fiji	United_States
Fiji	Vanuatu
Finland	Estonia
Finland	Iceland
Finland	Norway
Finland	Russia
Finland	Sweden
France	Algeria
France	Andorra
France	Belgium
France	Brazil
France	Chad
France	Germany
France	Italy
France	Ivory_Coast
France	Luxembourg
France	Monaco
France	Spain
France	Suriname
France	Switzerland
France	United_Arab_Emirates
France	United_Kingdom
Gabon	Cameroon
Gabon	Equatorial_Guinea
Gabon	France
Gabon	Mauritius
Gabon	Republic_of_the_Congo
Gabon	Seychelles
Gabon	South_Africa
Gabon	São_Tomé_and_Príncipe
Georgia_(country)	Armenia
Georgia_(country)	Azerbaijan
Georgia_(country)	Russia
Georgia_(country)	Turkey
Germany	Afghanistan
Germany	Austria
Germany	Belgium
Germany	China
Germany	Czech_Republic
Germany	Denmark
Germany	France
Germany	Iraq
Germany	Jordan
Germany	Lebanon
Germany	Lithuania
Germany	Luxembourg
Germany	Namibia
Germany	Netherlands
Germany	Poland
Germany	Russia
Germany	Switzerland
Germany	Turkey
Germany	United_Kingdom
Germany	United_States
Ghana	Burkina_Faso
Ghana	Colombia
Ghana	Ivory_Coast
Ghana	Libya
Ghana	Nigeria
Ghana	South_Africa
Ghana	Togo
Ghana	United_Kingdom
Greece	Afghanistan
Greece	Albania
Greece	Bulgaria
Greece	Cyprus
Greece	Georgia_(country)
Greece	North_Macedonia
Greece	Poland
Greece	Turkey
Greece	United_Kingdom
Grenada	Barbados
Grenada	Cuba
Grenada	Dominica
Grenada	Nicaragua
Grenada	Saint_Vincent_and_the_Grenadines
Grenada	Trinidad_and_Tobago
Grenada	United_Kingdom
Grenada	Venezuela
Guatemala	Belize
Guatemala	China
Guatemala	Costa_Rica
Guatemala	Cuba
Guatemala	El_Salvador
Guatemala	Honduras
Guatemala	Jamaica
Guatemala	Mexico
Guatemala	Nicaragua
Guatemala	United_States
Guinea	Algeria
Guinea	Burkina_Faso
Guinea	China
Guinea	Equatorial_Guinea
Guinea	France
Guinea	Guinea-Bissau
Guinea	Ivory_Coast
Guinea	Lebanon
Guinea	Liberia
Guinea	Mali
Guinea	Morocco
Guinea	Saudi_Arabia
Guinea	Senegal
Guinea	Sierra_Leone
Guinea	Ukraine
Guinea	United_States
Guinea-Bissau	Belgium
Guinea-Bissau	Brazil
Guinea-Bissau	Cameroon
Guinea-Bissau	Cape_Verde
Guinea-Bissau	China
Guinea-Bissau	Cuba
Guinea-Bissau	Guinea
Guinea-Bissau	Liberia
Guinea-Bissau	Nigeria
Guinea-Bissau	Portugal
Guinea-Bissau	Senegal
Guinea-Bissau	Spain
Guinea-Bissau	Suriname
Guinea-Bissau	Tanzania
Guinea-Bissau	Uganda
Guyana	Brazil
Guyana	Canada
Guyana	Ghana
Guyana	Senegal
Guyana	Suriname
Guyana	The_Bahamas
Guyana	Trinidad_and_Tobago
Guyana	United_Kingdom
Guyana	United_States
Guyana	Uruguay
Guyana	Venezuela
Haiti	Cuba
Haiti	Dominican_Republic
Haiti	Jamaica
Haiti	Kenya
Haiti	Liberia
Haiti	The_Bahamas
Honduras	Angola
Honduras	Belize
Honduras	El_Salvador
Honduras	Guatemala
Honduras	Jamaica
Honduras	Nicaragua
Honduras	Saint_Vincent_and_the_Grenadines
Honduras	Spain
Hungary	Austria
Hungary	Croatia
Hungary	France
Hungary	Romania
Hungary	Serbia
Hungary	Slovakia
Hungary	Slovenia
Hungary	Ukraine
Hungary	United_Kingdom
Hungary	United_States
Iceland	Denmark
Iceland	Estonia
Iceland	Latvia
Iceland	Lithuania
Iceland	Netherlands
Iceland	Norway
Iceland	Sweden
India	Afghanistan
India	Bangladesh
India	Bhutan
India	Brunei
India	Cambodia
India	China
India	Indonesia
India	Laos
India	Malaysia
India	Maldives
India	Myanmar
India	Nepal
India	Pakistan
India	Philippines
India	Sri_Lanka
India	Thailand
India	United_Kingdom
India	Vietnam
Indonesia	Brunei
Indonesia	China
Indonesia	Libya
Indonesia	Malaysia
Indonesia	Netherlands
Indonesia	Papua_New_Guinea
Indonesia	Saudi_Arabia
Indonesia	Singapore
Indonesia	United_States
Iran	Afghanistan
Iran	Algeria
Iran	Armenia
Iran	Azerbaijan
Iran	Iraq
Iran	Israel
Iran	Italy
Iran	Kazakhstan
Iran	Libya
Iran	North_Korea
Iran	Pakistan
Iran	Saudi_Arabia
Iran	South_Korea
Iran	Syria
Iran	Tajikistan
Iran	Tunisia
Iran	Turkey
Iran	Turkmenistan
Iran	United_Kingdom
Iran	United_States
Iraq	Algeria
Iraq	Australia
Iraq	Egypt
Iraq	Georgia_(country)
Iraq	Iran
Iraq	Israel
Iraq	Japan
Iraq	Jordan
Iraq	Kuwait
Iraq	Lebanon
Iraq	New_Zealand
Iraq	Qatar
Iraq	Saudi_Arabia
Iraq	Syria
Iraq	Turkey
Iraq	United_Arab_Emirates
Iraq	United_Kingdom
Israel	Argentina
Israel	Czech_Republic
Israel	Democratic_Republic_of_the_Congo
Israel	Egypt
Israel	France
Israel	Guatemala
Israel	Honduras
Israel	Jordan
Israel	Lebanon
Israel	Morocco
Israel	Nauru
Israel	Saudi_Arabia
Israel	Sudan
Israel	Syria
Israel	United_States
Italy	Austria
Italy	Belgium
Italy	Croatia
Italy	France
Italy	Malta
Italy	Philippines
Italy	San_Marino
Italy	Slovenia
Italy	Spain
Italy	Switzerland
Ivory_Coast	Burkina_Faso
Ivory_Coast	Cape_Verde
